question,answers
Ọsa wo lo kere julọ ni ilẹ Afirika ?,[].
Ta l'ọba ilẹ Egypt ti ayaba Nerfetiti fẹ?,[].
Eniyan meloo ni Covid-19 pa l'orilẹ-ede Australia l'ọdun 2020?,[].
Nigba wo ni Billy Ocean bẹẹrẹ si I kọrin?,[].
Ọdun wo ni Frederick Sanger gba ẹbun Nobel akọkọ?,[].
Igba wo ni orilede Amẹrika kopa ni bọọlu alafẹsẹgba lagbaye keyin?,[].
Kini ọjọ ori Barack Obama nigbati odi aarẹ orilẹ-ede Amẹrika?,[].
Arin asiko wo ni Ọjọgbọn Wande Abimbola sise gẹgẹ bi oga agba ti Yunifasiti Obafemi Awolowo ni Ile-Ife?,[].
Ni ọdun wo ni Lola Omolola da ẹgbẹ FIN kalẹ lori Facebook?,[].
ṣe Eugène Régis Mangalaza ti jẹ ipo igbakeji aare ti Madagascar tẹlẹ ri?,[].
Ile-iwe wo ni Yemi Elebuibon ti ka iwe?,[].
Ipinlẹ melo lo wa ni orilẹ ede USA nigbati a da silẹ?,[].
Ipo wo ni ijọba apapọ yan Festus Keyamo si ni ọdun 2015?,[].
Ọdun wo ni wọn pari akojọpọ Bibeli?,[].
Kini ibasepo ti o wa laarin Duke Henderson ati Carl Bosch?,[].
"Njẹ ""Ige"" jẹ lara awọn orukọ amutọrunwa ni ilẹ  Yoruba ?",[].
Tani o kọkọ kọ iṣiro ni ile ẹkọ giga lorilẹ ede Naijiria?,[].
Ede wo ni awọn ara Makoko maa n sọ ju ?,[].
Tani okunrin ti o ga ju lagbaaye ni ọdun 2021?,[].
Igba wo ni a bi Charie Omotunde?,[].
Ibo ni Robert Adam ti kọ iṣẹ yaleyale?,[].
Kini olu ilu ilẹ South Africa?,[].
Ọmọ ọdun melo ni Solomon Popoli nigbati o bẹrẹ si ni kọ orin ?,[].
Ilu wo ni  ile-isẹ Twitter ti bẹrẹ?,[].
Ni abẹ ijọba wo ni a ti da Ipinle Osun silẹ?,[].
ọdun wo ni ọbabinrin Elizabeth lọsi ilu Amerika gbẹyin?,[].
Ede melo ni afi kọ Wikipedia?,[].
ṣe ogun ti waye tele ri larin ilẹ Pakistan ati ile Israeli?,[].
Iru awọn ami ẹyẹ wo ni ijọba orilẹ ede Nigeria ma n fun awọn ọmọ orilẹ ede rẹ ?,[].
Ilu wo lo tobi julọ ni  orilẹ ede Dominican Republic ?,[].
ṣe South Korea wa ni Ilaorun lagbaaye?,[].
Ọmọọdun meloo ni Reece James jẹ l'ọdun-un 2020?,[].
àsìkò wo ni oorun ma n jade julọ ni ilu Kanada?,[].
Ẹgbẹ oṣelu melo ti a kọ silẹ lo wa ni Naijiria l'ọdun 2019?,[].
"Ipinlẹ ti Naijiria wo ni Adeniran Ogunsanya QC, SAN ti wa?",[].
Ilu wo ni o yi orilẹ ede Kambodia ka?,[].
N jẹ wọn sọ ipinlẹ Ogun l'orilẹ-ede Naijiria lẹyin oriṣa 'Ogun'?,Gold paragraph.
Orilẹ ede wo ni oni ilẹ ti o fe ju lagbaye?,[].
Ilu wo ni ọrọ-aje wọn tobi ju ni Afirika ni ọdun 2020?,[].
ilu wo lati bi Sheikh Mohammed,[].
Kini orukọ iwe akọkọ ti Obama Barrack kọ ?,[].
Arin ọdun wo ni Okada air fi sisẹ?,[].
nibo ni coffee ti wa?,[].
Kini iye awọn osisẹ ileese ajagun ojuoofurufu Naijiria?,"15,000."
Ọmọ ọdun melo ni Cosmas Maduka nigbati o fẹ iyawo rẹ Charity?,21.
Igbawo ni Popu John Paul II ku ?,2005.
Ta lẹni to jẹ gomina ti Eko nigba ti wọn pari kikọ National Arts Theatre l'Eko?,Oluṣẹgun ọbasanjọ.
Ipinlẹ wo l'Amẹrika ni Wikimedia Foundation kọ olu ile iṣẹ wọn si?,California.
Ẹgbe oṣelu wo ni Peter Odili lo lati jẹ Gomina Rivers?,People's democratic party.
Eroja pataki wo ni awọn ara Igbo fi maa n se ounjẹ abacha ?,Gbaguda.
Ta lo'darii apa kinni fiimu Transformers?,Michael bay.
Ta lẹni to da orin-iyin ti orilẹ-ede Amẹrika?,Francis scott key.
Aarin ọdun wo ni ogun abẹle fi sẹlẹ ni orilẹ-ede Naijiria?,6 agẹmọ 1967 – 15 ṣẹẹrẹ 1970.
Ọdọ ẹgbẹ wo ni Ebenezer Obey ti kọsẹ orin kiko?,Ẹgbẹ́ olórin fatai rolling-dollar.
Kini agbegbe ti o tobi julọ ni orilẹ-ede Nepal ?,Kathmandu.
Awọn wo lo pa Didius Julianus ?,Ṣójà.
ilu wo lati bi Samuel Ajayi Crowther ?,Osogun.
Ipinlẹ melo wo ni Yakubu Gowon kọkọ da ni ọdun 1967 ?,12.
Ta lẹni to da Coca-cola silẹ?,John stith pemberton.
Ọdun wo ni wọn da ile ẹkọ Queen's college yaba silẹ ?,[].
Fiimu agbelewo wo ni Tunde Kelani kọkọ se agbejade?,[].
Ipinlẹ wo ni Ibukun Awosika ti sinru ilu Naijiria?,Ìpínlẹ̀ kano.
Ta ni oludasilẹ Mount Zion Movies ?,Mike abayomi bamiloye.
Ni odun wo ni a da ile iṣẹ Facebook sile?,Awọn ikanni ajọlo.
Ki ni asteroidi n ṣe?,Astroid jẹ ila matimatiki pato: o jẹ hypocycloid to ni ibi iyipada meẹrin.
Igba wo ni JJ Rawlings pari ijọba rẹ gẹgẹ bi ologun ni orilẹ-ede Ghana?,2001.
Bawo ni ijọ katoliki ṣe bẹrẹ?,Asa ti ijọ katoliki sọ pe ijọ katoliki bẹrẹ pẹlu jesu krisiti ati awọn ẹkọ rẹ.
Ilu wo lo tobi julọ ni orile ede Haiti ?,Port-au-prince.
Ta ni ọba akọkọ ijọba Tooro ni Uganda ?,Omukama kaboyo olimi i.
"Ki ni orin akọkọ ti Dwayne Michael Carter, Jr gbe jade sinu fọọran?",True story (itan otitọ).
Ile-iṣẹ wo lo gbe ere amohunmaworan Baba Ajasco sita?,Wale adenuga productions limited.
Odo wo ni o gun ju lọ lẹyin odo Nile ni ilẹ Afrika ?,Odo nile.
Ijọ wo lọ bi Pasitọ Enoch Adeboye?,"Ọjọ 2, oṣu ẹrẹna, ọdun 1942."
Ibo ni wọn ti sin aarẹ tẹlẹ Nelson Mandela ?,Union building ni pretoria.
ṣe ilu Amerika ni orilẹ ede akooko to ran eniyan losi oṣupa?,Yes.
iwe wo ni olukowe Anichebe kọ kẹyin?,There was a country: a personal history of biafra.
ṣe ile iwe giga ti Lautech ni ẹka ni ilu Ogbomosho?,Yes.
Fiimu wo lo gbe Lere Paimọ sita gẹgẹ bi osere?,Ògbórí ẹlẹ́mọ̀ṣọ́.
Agbẹgbẹ melo ni wọn pin orilẹ-ede Sierra Leone si?,16.
Kini owo osise ni orilẹ Jamaica ?,Jamaican dollar.
Ọjọ kelo ninu ọsẹ ni wọn n bọ Sango?,Ọjọ́ kaàrún.
Ipo wo ni Rotimi Amaechi fun Nyesom Wike ninu ijoba re?,Olórí àwọn òṣìṣẹ́.
kilorukọ emperor alakọọkọ ni orilẹ ede China?,Qin shi huang.
awọn ọmọ melo ni Paul Adefarasin bi?,Márùn-ún.
Ki ni orukọ orin ti Westlife kọkọ gbejade ?,Swear it again.
Ọjọ wo ni Stella Obasanjo di ologbe?,23 ọ̀wàwà 2005.
ọdun melo ni Obasanjo fi je aare orile ede Naijiria,1999 si 2007.
Ọdun wo ni a bi John Burdon Sanderson Haldane FRS?,Ọdun 1892.
Irufẹ aisan wo ni o se okunfa iku Sound Sultan?,Angioimmunoblastic t-cell lymphoma.
Ilu wo ni wọn ti da Ile iwosan  akọkọ ni orilẹ ede Tanzania ?,Nkinga.
"Kini orukọ ti wọn pe Kinshasa, ti ojẹ olu ilu orilẹ-ede Kongo tẹlẹ?",Léopoldville.
Ile wo lo ni ipilẹ to jinlẹ julọ ni gbogbo agbaye?,Petronas towers.
Tani o ko ipa Black Panther ninu fiimu Black Panter?,Chadwick boseman.
Ori oke wo ni o tobi julọ ninu ori oke Kilimanjaro ati ori oke everest ?,Ori oke ti o ga julọ ni gbogbo agbaye ni oke everest.
ṣe agbábọ́ọ̀lù samuel etoo ti gba ami ẹyẹ agbábọ́ọ̀lù to dara julo lagbaye?,No.
ọdun melo ni Benjamin Franklin lo laye?,84.
Eso igi wo ni a fi n ṣe ori ?,Igi ori ti ilẹ afirika.
Ijọba ibilẹ meloo ni o wa ni ilu Delta?,25.
Ọdun wo ni a bi Mahilia Jackson?,Ọdun 1911.
Ipo wo ni Nnamdi Azikwe dimu ninu Biafra?,Agbẹnusọ.
Ọmọ ilu wo ni Femi Falana jẹ?,Ekiti.
Ilu wo ni afara (bridge) to gun julọ l'orilẹ-ede Amẹrika wa?,Metairie.
ṣe Albert Einstein ti gba Ebun Nobel ninu Fisiksi tele ri ?,Yes.
Ta ni igbakeji aarẹ Buhari ni aye ologun?,Tunde idiagbon.
Tani Aarẹ orilẹ-ede Sierra Leone nigbati ogun abele ọdun 1992 bẹrẹ?,Joseph momoh.
Ipinlẹ wo ni brazil ni Gabriel Jesus ti jade?,São paulo.
ṣe Afrika ti gbalejo world cup tele ri?,Yes.
Ilu wo ni o wa ni ibode ilu Kansas ni apa iwọ oorun?,Kolorado.
Ibo ni olu ilu Senegal?,Dakar.
Ijọba agbegbe meloo lo wa ni ipinlẹ Imo ni orilẹ-ede Naijiria?,Mẹta din lọgbọn.
Ọmọ orilẹ ede wo ni Shirley Jones?,Ara ilu amẹrika.
Ọmọ ilu wo ni Orlando Owoh?,"Ìjọba ìbílẹ̀ ifon - ose, ìpínlẹ̀ òǹdó."
department wo ni Dora Akunyili ti ṣiṣe bi ọga patapata ni 2007 ?,Ajọ to n mojuto akoso ohun jijẹ ati mimu lorilẹede naijiria (nafdac).
Ọdun wo ni ijoba apapo orilẹ-ede Naijiria fun ile-ise Coscharis ni iwe ase lati ma gbe oko wole?,1982.
Ede wo lọ sọ ni orile ede Kòlómbìà?,Ede sipeeni.
Ọmọ ẹgbẹ oṣelu wo ni John Forbes Kerry?,Ẹgbẹ olominira.
Ọdun wo ni wọn bi Ludwig Lazarus Zamenhof?,Ọdun 1859.
Tani iyawo ti Don Jazzy fẹ ri?,Michelle jackson.
Ta ni ẹni akọkọ ti o gba ami eyẹ Nobel ni litiresọ?,Sully prudhomme.
"Ipo ologun wo ni Gomina tẹlẹ, Jonah David Jang, wa nigba ti o fi iṣẹ ologun Naijiria silẹ?",Air commodore.
Ki l'orukọ ọmọ ikẹhin Muhammad Ali?,Muhammad ali jr.
N jẹ Fẹmi Kuti jẹ ọmọ akọkọ olorin Fẹla Kuti?,Bẹẹni.
Fiimu agbelewo wo ni Adunni Ade kọkọ se agbejade rẹ?,You or i.
Ipinlẹ meloo lo wa ni Togo?,Agbegbe marun.
Ipinle wo ni orilẹ-ede Amerika ni ilu Cleveland wa?,Ohio.
Nigba wo ni Moses Orimọlade bẹrẹ ijo Kerubu ati Serafu?,1925.
Njẹ arabirin Maya Angelou gba ẹbun Nobeli ?,Bẹẹkọ.
Orilẹ-ede Yuroopu melo lo wa ninu ajo NATO?,27.
eto wo lo n ṣe alamojuto awọn ọmọ orukan ?,Ile awọn ọmọ alailobi.
"ki loruko ere ìdárayá ti ale fẹsẹ gba, ti osi ni ẹgbe mokanla?",Bọọlu afẹsẹgba.
Kinni olu-ilu Singapore?,Singapore.
Ọdun wo ni Jonah David Jang kuro ni iṣẹ ologun ti Naijiria?,Ọdun 1990.
Tani osere akọkọ ti ẹgbẹ Mo' Hits Records ni?,D'banj.
Ki ni iṣẹ ti Alàgbà Francis Akanu Ibiam n ṣe?,Ojihin-iṣẹ-ọlọrun oniṣegun.
Ta lo jẹ Gomina Ipinlẹ Benue saaju Aper Aku?,Abdullahi shelleng.
Ta lo da ile iṣe amohun maworan akọkọ sile ni ile West Africa ?,Ijọba orile-ede naijiria.
Ọmọ ọdun  melo ni Bessie Smith nigbati o di oloogbe?,43.
Ijọ wo ni Moses Orimolade da silẹ ?,Kerubu ati serafu.
Kinni orukọ ẹni to jẹ ọba ilu Iwo ni ipinlẹ Ọsun l'ọdun 2021?,Hrm oba abdulrosheed akanbi.
Kinni itumọ .png to jẹ ara orukọ faili aworan?,Portable network graphics.
Ibo ni olu ilu orilẹ-ede Qatar?,Doha.
Ọdun wo ni wọn gbe ere Baba Ajasco jade?,1996.
Njẹ wọn sọ orukọ ilu San Diego l'orile-ede Amẹrika leyin eyan kan?,Rara.
Ipele wo ni Pearlena Igbokwe ti bẹrẹ isẹ ni ile-isẹ Showtime?,"Igbákejì aàrẹ, drama programming, fún nbc entertainment."
tani ọga adajo patapata ni orilẹ ede Brazil?,Luiz fux.
oṣù wo ni ajọyọ ibi Kristi?,Oṣu ọpẹ.
ṣe ale ri orilẹ-ede Hungary ni Afirika?,No.
Kinni aisan to ṣekupa Charlie Chaplin?,Aarun cirrhosis ninu ẹdọ.
Ta ni o da ẹgbẹ oṣelu akọkọ silẹ nilẹ Naijiria?̣,Herbert macaulay.
Ọdun wo ni orilẹ-ede Cameroon gba ominira?,Ọdun 1960.
Ijọba ta ni o da ẹgbẹ DSS silẹ?,Ibrahim babangida.
"Inu ere wo ni oludasilẹ Alibaba, Jack Ma ti kọkọ kopa?",Gong shou dao.
Ẹya meloo ti a kọ silẹ lo wa nilu Plateau l'orilẹ-ede Naijiria?,Ẹẹtadilogun.
Nibo ni olu ile-iṣẹ UN wa?,Orilẹ-ede amẹrika.
Ni orile ede wo ni wọn ti maa n sọ ede Twi ?,Ghana.
Ta ni ọga ile-iṣe NASA l'ọdun 2020?,James frederick bridenstine.
Ni ọdun wo ni a da ile iṣẹ telifiṣiọọnu akọkọ silẹ ni orilẹ ede Naijiria?,Ọdun 1959.
ṣe ẹkọ àgbègbè wa laara awon ẹkọ sayensi?,Yes.
Ẹgbẹ oṣelu wo ni Kamorudeen Adekunle wa?,People's democratic party.
tani ọba Benin lowolowo ni Naijiria?,Ewuare ii.
Orile ede wo ni ilu Paris wa?,French (faranse).
Igba wo ni wọn pin ipinlẹ Ọsun kuro lara ipinlẹ Ọyọ?,27 ògún 1991.
Ṣe gbogbo ile iṣẹ ọlọpa ni o ni ojuṣe kanna lagbaye?,Bẹẹni.
Igba melo ọtọtọ ni wọn ti yan Ngozi Okonjo-Iweala gẹgẹ bi minisita fun eto ọrọ isuna Naijiria?,Ẹ̀meèjì.
Ki loruko olu ilu ti british columbia ni orile ede Kanada?,Victoria.
Kinni kẹmikal pataki ti n ṣiṣẹ ninu biliṣi?,Calcium hypochlorite.
Orile ede wo ni Berlin wa?,Germany (jẹmani).
Kinni iṣẹ Piston ninu moto?,Lati gbe ipa kuro ninu gaasi tio n posi to wa ninu silinda lọsi crankshaft pẹlu ọpa piston.
Ta ni gomina akọkọ ti ipinlẹ Nevada ni Orilẹ-ede Amẹrika?,Whig isaac roop.
talo dari eré Muvhango?,Duma ndlovu.
ki lorukọ Department ti o ma n kọrin ninu ijọ?,Ẹgbẹ akọrin.
Agbegbe wo ni ileese Mambilla wa ni ipinle Taraba?,Abúlé kakara.
Ọdun wo ni Amerika gba ominira?,Ọdun 1776.
Ọdun wo ni a dá oye Poet Laureate Consultant in Poetry to the Library of Congress silẹ?,Ọdun 1937.
Ibo ni wọn ti n ṣe itọju awọn erin alailobi  lati ni Kenya ?,Tsavo national park.
Talo gba ami ẹyẹ bọọlu alẹfẹsẹ gba ni ọdun 2007,Kaká.
Ni igba wo ni kede isẹlẹ akọkọ Covid-19 ni orilẹ-ede Naijiria?,27 èrèlé 2021.
Iwe wo ni Charles Olson kọkọ kọ?,Call me ishmael.
Ipin meloo lo wa ninu Kuraani?,Ẹẹrin le ni aadọfa.
Ọdun wo ni Nnamdi Azikwe faye silẹ?,Ọdun 1996.
Ilu wo ni wọn bi Mahatma Ghandi si?,Porbandar.
Ẹgbẹ wo lo gba ipo kini ni NFL (National Football League) ni ọdun 2013 ?,Seattle seahawks.
Tani o tumọ orin orilẹ-ede Naijiria si ede Yoruba?,Adébáyọ̀ fálétí.
Saa melo ni Angela Mikel fi tukọ orilẹ-ede Germany?,Ẹ̀̀mẹẹ̀rin.
ṣe ile orile ede Kòlómbìà lati bi usain bolt?,No.
ṣe gbogbo ododo lili lo funfun?,Rara.
Ni ọdun wo ni Muyiwa Ademola bẹrẹ I ni ṣe ere sinima?,Ọdun 1991.
ẹbun melo la fun Jẹsu Kristi ni ọjọ ta bi?,Mẹta.
N jẹ ejo Mamba ni majele ninu rẹ?,Bẹẹni.
tani gbajumọ agba bọọlu akọkọ ti Naijiria to gba bọọlu fun Arsenal FC?,Nwankwo kanu.
Tani o bẹrẹ ẹgbẹ Boko haram?,Mohammed yusuf.
Ni gbawo ni Shola Allyson bẹrẹ si ni kọrin?,Opin 1980.
Awo orin melo ni Yemi Alade ti gbe jade?,Márùn-ún.
Nigba wo ni south Korea ati North Korea pinya?,[].
orilẹ ede wo lati bi olorin emi Ebenezer Obey?,Naijiria.
Tani ẹni to kere ju lọjọ ori to ti jẹ oga olopa orilẹ-ede Naijiria?,Sunday adédayọ̀ adéwùsì.
Ọdun wo ni a da ẹgbe All Progressives Congress silẹ?,Ọdun 2013.
ṣe orilẹ ede Uganda fi egbe ti orile ede Rwanda?,Yes.
Ọjọ wo ni Marvin Williams fẹyinti gẹgẹ bi agbabọọlu alapẹrẹ ara Amẹrica,2015.
Iyawo meloo ni Aarẹ Muhammadu Buhari fẹ?,Mẹji.
Ipinlẹ melo ni Japan ni?,47.
Igba wo ni Miss Sahara fi orilẹ-ede Naijiria silẹ lati lo orilẹ-ede United Kingdom?,2004.
Ilu wo ni olu ile-iṣe ifowopamọ Yuroopu wa?,"Frankfurt, germany."
N jẹ Patois ni ede oṣiṣe orilẹ-ede Jamaica?,Rara.
Ta ni o ni owo ju ni agbaye ni ọdun 2021?,Jeff bezos.
Ọdun wo ni wọn da ile ẹkọ giga yunifasiti ipinlẹ Ekiti ?,1982.
ṣe Japan wa lara united nations?,Yes.
Nigba wo ni wọn da UN silẹ ?,"Ọjọ kẹrinlelogun oṣu kẹwa, ọdun 1945."
ṣe 1999 ni orile ede Cameroon gba ominira,No.
Ọmọ ilu wo ni Chioma Omeruah?,Abia.
Kọntinẹnti wo ni ilẹ Panama wa?,Aaringbungbun amẹrika ati guusu amẹrika.
ọmọdun melo ni o leto lati bẹẹrẹ facebook?,Mẹtala (13) ati awọn to ju be lọ.
Ni ọdun wo ni Khartoum di olu-ilu Sudan?,Ọdun 1956.
"Yatọ si aṣọ to jẹ, n jẹ Kente tun jẹ ẹya l'orilẹ-ede Ghana?",Rara.
Ede wo ni wọn fi kọkọ kọ orin Despacito ?,Spanish.
Odo wo lo tobi julo ni Orilẹ-ede India?,Ganga.
ilé-ẹ̀kọ́ giga wo ni George Bush lo?,Fasiti yale.
se alagba T.D. jakes wa lati Áfríkà?,No.
Ipo tuntun wo ni Bola Ige sẹsẹ ni nigati ijamba iku rẹ sẹlẹ?,[].
ọdun wo ni Nuhu Aliyu beere ise alagba aṣofin ?,1999.
kilorukọ ilé-ẹ̀kọ́ giga ti ijoba ipinle to wa ni ilu Ogbomosho?,Fasiti imọ erọ ladoke akintola.
Ki lo pa Ayinla ọmọwura?,Èṣe orí.
Ibo ni ibujoko ile-iṣẹ microsoft ni Amerika?,Redmond.
Ọdun wo ni a bi Dangote?,Ọdun 1957.
Ida melo ninu ọgọrun ni ibo ti o gbe Nguyễn Minh Triết wọle gẹgẹ bi aarẹ orilẹ-ede Vietnam?,Ìdá 86.87.
ṣe ale ba awọn eniyan to jinna sọọrọ lori internet?,Yes.
Ọdun wo olorin Burna boy kọkọ gbe igba oroke Grammy awards ?,2021.
Kinni oluilu Vẹnẹsuẹla?,Caracas.
Ta ni ẹni akọkọ ti o gba ami ẹyẹ Nobel ninu Kẹmisitiri?,Jacobus henricus van 't hoff.
Lati yunifasiti wo ni onkọwe Wọle Soyinka ti kọkọ ṣetan?,University college ibadan.
ibo ni ibùjóòkó ile iṣẹ Huawei?,"Shenzhen, guangdong, china."
Iyawo meloo ni anabi Muhammad fẹ nigba aye rẹ?,Mẹsan.
N jẹ Queen Elizabeth II lọ si ile-ẹkọ giga?,Rara.
Ọmọ orilẹ ede wo ni Nnamdi Azikwe?,Nigeria (naijiria).
Adugbo wo ni ọgba NPA (Nigerian Ports Authority) ni ipinlẹ eko ?,Apapa.
Ta ni oludari kikọ ebute ọkọ agbami Tema ni 1962?,Theodore s. clerk.
Igba wo ni Ladi Kwali dara pọ mo ile-isẹ amọ ikọkọ ti Naijiria ti o wa ni Abuja?,1954.
Ẹgbẹ bọọlu afẹsẹgba wo ni Alex Iwobi sisẹ pelu lọdun 2019?,Everton.
Ọdun wo ni a bi Stella Damascus?,Ọdun 1978.
Ọjọ melo ni awọn musulumi fi maa n gbawẹ Ramadan ?,Mọkandinlọgbọn si ọgbọn.
Awo orin melo ni Sikiru Ayinde Barrister gbe jade?,Ó lé ní 70.
Ọdun wo ni a bi Norodom Sihamoni?,Ọdun 1953.
Nigbawo ni a da orilẹ ede Canada silẹ?,1867.
Ki lo fa ti Tanzan Ishibashi se fi ipo Alákòóso Àgbà orilẹ-ede Japan silẹ?,Àìsàn.
Ki ni orukọ ilu eto ọrọ ajẹ to dara julọ ni orilẹ ede Algeria?,Oran.
Ọmọọdun meloo ni Marilyn Monroe nigba to ku?,Ẹẹrin din logoji.
Ọdun melo ni Nelson Mandela lo ni ewon?,Ọdún 27.
"Igba wo ni wan yan Dora Akunyili gẹgẹ bi oludari agba Ajọ to n gbogun ti aṣilo oogun ati ounjẹ lorilẹede Naijiria, NAFDAC?",2001.
ki lorukọ ìdánwò ti igbimo west africa  examination council ma n seto?,Waec.
Kinni orukọ iya to bi oṣere Tyler Perry?,Willie maxine perry.
Ọmọ melo ni Usman Dan Fodio bi nigbati o wa laye ?,[].
ọjọ́ woni aya ọbabinrin Elizabeth gun ori oye united kingdom?,1936.
N jẹ Austria jẹ ipinlẹ ninu Australia?,Rara.
Papa ọkọ ofurufu meloo lo wa ni Cameroon?,Ẹẹtala.
Ipinlẹ wo ni igbo Sambisa wa ni Orile ̣ede Naijiria?,Borno.
wakati melo ni o fi maa gba bọ́ọ̀lù àfẹsẹ̀gbá?,Iṣẹju adọrun (90) tabi ju bẹ lọ.
Orilẹ ede melo ni ọmọ orilẹ ede Naijiria le rin irin ajo lọ laini gba iwe irinna?,Aarundinlaadọta.
Isẹ wo ni isẹ aarọ Tony Anenih ki to darapọ mọ oselu?,Kọmíṣọ́nà ọlọ́pàá.
Ipinlẹ Naijiria wo ni Lere Paimọ ti wa?,Ipinlẹ ọyọ.
Orin wo ni Wizkid ati Drake jọ kọ?,Come closer.
Ọdun wo ni ogun agbaye ikinni pari?,Ọdun 1918.
Kinni ede oṣiṣe orilẹ-ede Hungary?,Hungarian.
tani oga patapata ti Achievers yunifasiti ni Nigeria?,Hon (dr.) bode ayorinde.
Ọdun wo ni Sanwo Olu jẹ gomina ilu Eko?,Ọdun 2019.
Ọmọ ilu wo ni Baba Suwe?,Ikorodu.
ṣe aare Barack Obama bi ọmọkunrin?,No.
Kini owo oṣiṣẹ ni orile-ede Portugal ?,Euro.
Osu wo ni wọn ma n se ọdun Osun-Osogbo?,Ògún.
N jẹ olorin ọmọ orilẹ-ede Naijiria Fẹmi Kuti lo s'ile-iwe ni United Kingdom?,Rara.
Ọdun wo ni a bi Riliwan Akiolu?,Ọdun 1943.
Ki ni iwọn bi Mt. Everest ṣe fẹ to?,"Mita 8,848.86 ."
Ọdun wo ni a sọ Femi Falana di amofin agba?,Ọdun 2012.
Ẹgbẹ oṣelu wo ni o se iṣakoso Ikọle ekiti ni ọdun 2019 ?,Apc.
Ọjo melo ni Fisayo Soyombo lo ninu ewon Ikọyi nigbati o n se se iwadi?,Ọjọ́ márùn-ún.
Tani Alakoso Agba orile-ede Kanada lowo lowo?,Justin trudeau.
Kini orukọ owo ti wọn n naa ni orilẹ-ede China?,Yuan.
Ara ẹgbẹ akọrin westlife wo loku ni ọdun 2009 ?,"Gately ku ni ile rẹ ni port d'andratx, mallorca, ni kutukutu ọjọ 10 oṣu kẹwa ọdun 2009."
Ta lo jẹ Igbakeji Aare JF Kennedy ?,Lyndon b. johnson.
ọdun wo lada ọọkọfurufu emiratu silẹ?,1903.
iIu jerusalẹm wa ni orile ede wo?,Israẹli.
Nkan alumoni wo lo po julọ ni Russia?,Eepo rọ̀bì àti gáàsì.
Ilu wo ni ile Gẹẹsi ni a bi Frederick Sanger si?,Gloucestershire.
Awọn ọmọ Sunday Igboho melo ni agbabọlu ni orilẹ-ede Germany?,Mẹ́ta.
Ile iṣẹ wo ni odari ere Xmen ?,Marvel comics.
Ilu wo ni won koko le Sanusi Lamido Sanusi lọ nigbati wọn rọ loye ti won si ran ni igbekun?,Azare.
Awọn ọlọgbọn melo lomu ebun wa fun Jesu Kristi lọjọ ti abi?,Mẹta.
ṣe Nàìjíríà wa lara orílẹ̀-èdè to wa ni ìwọ oòrùn africa?,Yes.
Kinni orukọ eni to ṣẹda ohun elo orin Clarinet?,Johann christoph denner.
Kọntinẹẹti wo ni Peru wa?,Apa guusu amẹrika.
Ki ni orukọ olu-ilu Ipinlẹ Virginia?,Richmond.
Ọjọ wo ni orilẹ-ede Ghana gba ominira?,Ọjọ kẹfa oṣu kẹta ọdun 1957.
Ki l'orukọ omo akọkọ ti ọmọọba Harry ati Meghan Markle?,Archie mountbatten-windsor.
ọdun wo ni a da ipinlẹ Rivers silẹ?,Ọdun 1967.
Ni odun wo ni a da ilu Virginia silẹ?,Ọdun 1776.
"Odun wo ni Gbenga Adeboye Abefe, osere tiata, faye silẹ?",2003.
aye ijokoo meloo ni o wa ni papa Peter Mokaba?,"45,500."
Ibo ni Dangote kọ refinery sugar ni ipinlẹ eko ?,Ebute ti apapa.
Ijọba ibilẹ meloo ni o wa ni Rẹmọ?,Mẹtalelọgbọn.
Kinni orukọ sayensi n kan ninu ata to maa n jẹ ko ta?,Capsaicin.
Iku wo lo pa Abacha ni Naijiria?,Ida duro ọkan.
Ọmọ ipinlẹ wo ni Stella Damascus n ṣe?,Edo (ẹdo).
Toonu cashu melo ni wọn gbejade lagbaye lọdun 2019?,"3,960,680."
Ọmọ ọdun melo ni Maryam Abacha nigbati Sani abacha ku ?,Ọmọbinrin mẹta ati ọmọkunrin meje.
Ami ẹyẹ goolu Olympic melo ni Usain Bolt ni lapapo?,Mẹ́jọ.
Ọdun wo ni Orlando Owoh bẹrẹ si n kọrin ?,1958.
doro wat jẹ ounjẹ  awọn ara a bo ?,Ilẹ eritrea ati ilẹ ethiopia.
Ọdun wo ni opagun kariaye ti Computer Graphics Metafile kọkọ jade?,1986.
Ta ni ẹni akọkọ ti o jẹ ọba ilu Eko?,Aṣipa.
Kọọtiinẹẹti wo ni Senegal wa?,Africa (ilẹ adulawo).
Tani iyawo ẹni to je aarẹ orilẹ-ede Kanada l'ọdun 2021?,Sophie grégoire trudeau.
"Igba wo ni Elisabeti Keji, ayaba ilu Briteni de oriitẹ?",02-jun-53.
Ki ni orukọ Aarẹ orilẹ ede Brazil?,Jair bolsonaro.
Se Mississippi ṣi ni odo ti o ṣi gun julọ lagbaaye?,Rara.
Ile-iṣẹ wo lo ṣe ajesara Covid-19 Astrazeneca?,Astrazeneca plc.
Kini orukọ olu ilu Peru?,Lima.
Orilẹ-ede meloo lo wa ninu Latin Amẹrika?,Ookan lelogun.
Iṣẹ wo ni Flora Shaw nṣe nigbati o sọ Naijiria lorukọ,Onirohin ati alakọwe.
Ki ni orukọ Ọba ilu Ọwọ?,Ajibade gbadegesin ogunoye iii.
ṣe ijo Kátólìkì je ijo onigbabo?,Yes.
orilẹ ede wo ni Wole Soyinka ti wa?,Naijiria.
